Dataset,Benchmark,Queries,Corpus,Languages,Split,Final role
Touche2020,CSR-L,49,303732,"en,zh,ja",default/test,final_test
HumanEvalRetrieval,CSR-L,158,158,"en,zh,ja",qrels/test,final_test
TRECCOVID,CSR-L,50,171332,"en,zh,ja",default/test,final_test
Core17InstructionRetrieval,CSR-L,40,19899,"en,zh,ja",default/test,final_test
News21InstructionRetrieval,CSR-L,64,30921,"en,zh,ja",default/test,final_test
Robust04InstructionRetrieval,CSR-L,104,47492,"en,zh,ja",default/test,final_test
ArguAna,CS-MTEB,1406,8674,"en,zh,ja,de,es,ko,fr,it,pt,nl",default/test,development
ClimateFEVERHardNegatives,CS-MTEB,1000,47416,"en,zh,ja,de,es,ko,fr,it,pt,nl",default/test,development
HumanEvalRetrieval-CS-MTEB,CS-MTEB,158,158,"en,zh,ja,de,es,ko,fr,it,pt,nl",qrels/test,final_test
TRECCOVID-CS-MTEB,CS-MTEB,50,171332,"en,zh,ja,de,es,ko,fr,it,pt,nl",default/test,final_test
Touche2020-CS-MTEB,CS-MTEB,49,303732,"en,zh,ja,de,es,ko,fr,it,pt,nl",default/test,final_test
Core17InstructionRetrieval-CS-MTEB,CS-MTEB,40,19899,"en,zh,ja,de,es,ko,fr,it,pt,nl",default/test,final_test
News21InstructionRetrieval-CS-MTEB,CS-MTEB,64,30921,"en,zh,ja,de,es,ko,fr,it,pt,nl",default/test,final_test
Robust04InstructionRetrieval-CS-MTEB,CS-MTEB,104,47492,"en,zh,ja,de,es,ko,fr,it,pt,nl",default/test,final_test
